,x,y,time,theta
0.0,347.0,143.0,0.01757049560546875,-0.19114162650432728
1.0,418.0,124.5,0.04517650604248047,-0.20520205685183698
2.0,482.5,103.0,0.05498981475830078,-0.22155425263417983
3.0,540.5,77.5,0.06672883033752441,-0.24096215385235198
4.0,536.0,110.0,0.20323562622070312,-0.21622902350592935
5.0,326.0,111.5,0.24741315841674805,-0.21508805500985484
6.0,245.5,111.5,0.26332640647888184,-0.21508805500985484
7.0,164.5,109.0,0.2833974361419678,-0.21698969952748778
8.0,320.0,103.0,0.5400950908660889,-0.22155425263417983
9.0,304.2631530761719,109.0,0.5677306652069092,-0.21698969952748778
10.0,290.6910095214844,112.93820190429688,0.5888383388519287,-0.21399414488740615
11.0,277.0,115.5,0.6133499145507812,-0.21204574471543125
12.0,264.75,116.0,0.637509822845459,-0.21166548427603188
13.0,253.0,114.0,0.6613774299621582,-0.21318656410357004
14.0,243.32608032226562,108.41304016113281,0.6786508560180664,-0.217436197008604
15.0,156.0,110.0,0.7796230316162109,-0.21622902350592935
16.0,67.0,109.0,0.8968305587768555,-0.21698969952748778
17.0,244.2906951904297,275.47674560546875,1.430020809173584,-0.09085245930937116
18.0,293.6176452636719,267.5,1.4425554275512695,-0.09686639060894645
19.0,337.0,258.5,1.4539940357208252,-0.10365621007940132
20.0,385.0,244.5,1.4700429439544678,-0.1142271263139247
21.0,435.5,227.5,1.4816749095916748,-0.1270771915061163
22.0,477.2894592285156,209.5,1.5017807483673096,-0.1406987380110315
23.0,543.0,143.5,1.6904969215393066,-0.19076175805205176
24.0,456.0,135.0,1.7013969421386719,-0.19722057250028685
25.0,279.6881103515625,106.26237487792969,1.72111177444458,-0.2190722676081308
26.0,203.5,90.0,1.7314865589141846,-0.23144685993505776
27.0,129.73711395263672,69.80928039550781,1.7463252544403076,-0.24681786664474867
28.0,71.53636169433594,48.936363220214844,1.7749862670898438,-0.26271481127019913
29.0,15.5,29.5,1.7834861278533936,-0.2775219464916783
30.0,73.07039642333984,80.62996673583984,1.9481418132781982,-0.23857928179641813
31.0,151.0,90.5,1.964935302734375,-0.2310663098778195
32.0,226.7486572265625,93.2834243774414,1.9834086894989014,-0.2289479372993618
33.0,314.69232177734375,99.0,2.00150990486145,-0.22459774528315402
34.0,386.8333435058594,97.5,2.019282341003418,-0.22573914586674204
35.0,455.0,93.5,2.041956901550293,-0.22878311535546414
36.0,526.0,89.0,2.0635104179382324,-0.23220797491973202
37.0,581.5,82.0,2.0802297592163086,-0.2375363175336992
38.0,632.5,73.5,2.095313787460327,-0.24400763327075797
39.0,587.5,218.0,2.257720708847046,-0.13426441763635805
40.0,498.25860595703125,212.5689697265625,2.277604579925537,-0.13837520457558145
41.0,419.32501220703125,204.0,2.298703670501709,-0.144863891792762
42.0,340.4358825683594,189.57264709472656,2.3170413970947266,-0.155796054403899
43.0,277.94329833984375,177.78866577148438,2.3395285606384277,-0.1647316710354739
44.0,221.5,162.5,2.3519389629364014,-0.1763328507010158
45.0,27.5,265.5,2.5328938961029053,-0.09837483894817603
46.0,95.3648681640625,278.52703857421875,2.5609304904937744,-0.0885537399348508
47.0,168.0869598388672,288.7173767089844,2.584787607192993,-0.08087833697491831
48.0,249.0,293.0882263183594,2.594412326812744,-0.07758816729419937
49.0,325.5,292.5,2.6072895526885986,-0.07803088636531283
50.0,399.5621337890625,291.138427734375,2.6276466846466064,-0.07905573554580447
51.0,478.435791015625,285.87615966796875,2.6433639526367188,-0.0830177112342696
52.0,545.5,274.0625,2.6632838249206543,-0.09191843199861505
53.0,607.9931640625,261.3219299316406,2.6792726516723633,-0.10152678119760952
54.0,551.5,267.0,2.9525463581085205,-0.09724348102096741
55.0,498.0,247.0,2.9832592010498047,-0.1123386819100484
56.0,247.6199951171875,309.7533264160156,3.0979204177856445,-0.0650546989305521
57.0,207.0,301.76922607421875,3.1283442974090576,-0.07105711958459388
58.0,191.0,293.6666564941406,3.143181800842285,-0.07715284247381873
59.0,176.5,282.3461608886719,3.154999256134033,-0.08567641713967883
60.0,471.5,314.5,5.640393257141113,-0.06148817249385782
61.0,386.7894592285156,329.0,5.663517713546753,-0.05060277891432163
62.0,35.5,328.5,5.879634618759155,-0.05097789392077004
63.0,73.5,328.5,5.888434410095215,-0.05097789392077004
64.0,119.5,322.0,5.901587009429932,-0.05585598253573201
65.0,172.7408447265625,314.075927734375,5.919214487075806,-0.06180674765152194
66.0,282.5,282.5,5.959542512893677,-0.08556053348961179
67.0,338.5,260.0,5.97520112991333,-0.10252425387274472
68.0,402.0,233.0,5.989378929138184,-0.12291819941797319
69.0,463.3999938964844,202.5,6.003897666931152,-0.14600007841208645
70.0,518.5,170.5,6.017369985580444,-0.17026128844348876
71.0,577.5,133.0,6.032164812088013,-0.19874061043203978
72.0,622.0,98.5,6.050945043563843,-0.22497820672112867
73.0,615.4697265625,199.10606384277344,6.235581636428833,-0.1485712081770539
74.0,540.5,217.0,6.248735189437866,-0.13502122064412797
75.0,467.99383544921875,227.4629669189453,6.263742446899414,-0.12710520031823494
76.0,400.72265625,236.6282958984375,6.277564525604248,-0.12017539136679567
77.0,341.6944580078125,237.0,6.293964862823486,-0.11989444000102498
78.0,292.5,236.0,6.309081315994263,-0.12065030300338997
79.0,301.3080749511719,311.919189453125,6.559264421463013,-0.06342713846698803
80.0,576.1153564453125,254.19232177734375,6.79178524017334,-0.10690764469530123
81.0,492.5,259.0,6.802428960800171,-0.10327887728576168
82.0,411.0,253.0,6.820978403091431,-0.10780779060674245
83.0,340.5,247.0,6.836616039276123,-0.1123386819100484
84.0,270.2241516113281,238.22415161132812,6.851605415344238,-0.11896921933640078
85.0,52.0,252.0,7.0399110317230225,-0.10856280301772192
86.0,121.0,245.5,7.054494142532349,-0.11347170849652471
87.0,265.0,226.0,7.089554071426392,-0.128211723854862
88.0,564.0423583984375,131.6525421142578,7.1449854373931885,-0.1997647701053088
89.0,407.5,246.0,7.3075337409973145,-0.11309401958951948
90.0,336.0,243.0,7.325374126434326,-0.11536035265487943
91.0,280.5,240.5,7.339423179626465,-0.11724932711229988
92.0,170.0,284.0,7.552009344100952,-0.08443069204635215
93.0,289.1000061035156,249.41427612304688,7.596457004547119,-0.11051530986630465
94.0,347.8005065917969,226.9300537109375,7.616660833358765,-0.1275082600718251
95.0,404.1153869628906,203.1923065185547,7.643265247344971,-0.14547567305611805
96.0,588.5,168.68182373046875,7.702933311462402,-0.17164097851882665
97.0,565.5,149.40908813476562,7.864422082901001,-0.18627301069898788
98.0,482.9468078613281,148.3085174560547,7.88296365737915,-0.1871089566284023
99.0,409.5,145.5,7.901418924331665,-0.18924236340676792
100.0,333.0,138.5,7.920514345169067,-0.19456079310696056
101.0,269.8529357910156,133.5,7.935636520385742,-0.1983605899038659
102.0,158.0,119.5,7.962000846862793,-0.20900384166576325
103.0,103.78947448730469,233.0,8.14789342880249,-0.12291819941797319
104.0,162.2028045654297,243.85342407226562,8.168890714645386,-0.11471558960279346
105.0,221.2591552734375,251.924072265625,8.185675144195557,-0.10862013163787221
106.0,287.34783935546875,255.0,8.195275068283081,-0.10629793082658551
107.0,347.07977294921875,257.8968811035156,8.211799144744873,-0.10411138181298829
108.0,405.8559265136719,256.33050537109375,8.240097284317017,-0.105293615112099
109.0,464.484375,251.7109375,8.250986814498901,-0.10878105899967896
110.0,515.195068359375,243.27578735351562,8.265183210372925,-0.11515199071690324
111.0,562.6620483398438,233.74900817871094,8.284419775009155,-0.12235193209850787
112.0,604.0,221.5,8.301646947860718,-0.1316159831036941
113.0,526.5,318.0,8.490864038467407,-0.05885933864249154
114.0,449.1994934082031,308.0699462890625,8.513296842575073,-0.06631990861937265
115.0,26.5,324.4285583496094,8.768408060073853,-0.0540330650151159
116.0,82.65662384033203,323.2108459472656,8.780734300613403,-0.054947049663799874
117.0,146.90908813476562,315.7272644042969,8.789899826049805,-0.060566285112738205
118.0,217.0625,303.625,8.802290678024292,-0.06966158120413488
119.0,284.0,289.0,8.831254005432129,-0.08066555526881236
120.0,358.8666687011719,264.98333740234375,8.841856002807617,-0.09876455584983354
121.0,421.8888854980469,242.88888549804688,8.851378202438354,-0.11544430264760147
122.0,489.0,215.0,8.865061283111572,-0.1365349685161564
123.0,548.0,185.0,8.877892255783081,-0.15926275923954564
124.0,603.10302734375,155.79771423339844,8.890782117843628,-0.18142128114992337
125.0,569.8405151367188,216.7699432373047,9.061058521270752,-0.1351953350023112
126.0,469.0,231.0,9.083436965942383,-0.12443038442533866
127.0,362.5,240.5,9.094526767730713,-0.11724932711229988
128.0,276.0,243.82144165039062,9.120688915252686,-0.1147397516704548
129.0,193.21153259277344,246.0,9.13021469116211,-0.11309401958951948
130.0,112.53597259521484,243.64028930664062,9.145489692687988,-0.11487660959613555
131.0,51.88461685180664,240.34616088867188,9.162404298782349,-0.11736557708728831
132.0,115.875,284.75,9.371326446533203,-0.08386582307250254
133.0,184.86363220214844,281.5,9.383484125137329,-0.08631383750258226
134.0,108.68181610107422,311.1363525390625,9.707934379577637,-0.06401537325148657
135.0,585.5,317.0,10.165889739990234,-0.059610348997230306
136.0,435.0,312.5,10.193267345428467,-0.06299073573163388
137.0,152.92022705078125,281.8968811035156,10.479427337646484,-0.08601485807841922
138.0,340.5,267.4090881347656,10.524905681610107,-0.09693495351721537
139.0,578.5,245.5,10.793213605880737,-0.11347170849652471
140.0,354.6785583496094,219.42857360839844,10.837430477142334,-0.1331833514023469
141.0,168.5,203.5,11.062031030654907,-0.14524260955402635
142.0,391.9360046386719,165.64218139648438,11.112905025482178,-0.17394782855527638
143.0,522.0317993164062,131.55201721191406,11.15402889251709,-0.19984117798638473
